3	3	2	1	5	4	4	2	1	1	3	4	1	3	2	2	3	3	1	2	0	3	1	0	4	3	2	2
2	3	1	4	1	3	3	1	1	5	1	4	3	2	4	4	1	4	1	2	1	2	3	3	1	3	2	1
1	0	1	4	2	2	4	2	3	1	1	3	1	4	1	3	2	3	2	0	0	5	4	4	4	1	1	2
1	4	1	1	1	3	2	1	2	2	2	3	3	2	1	3	2	0	2	1	3	3	3	1	1	4	1	4
3	2	4	4	4	4	3	3	2	4	2	3	3	1	4	2	2	3	2	4	3	2	4	1	2	3	2	1
3	3	4	2	3	2	2	6	1	1	0	6	5	4	2	0	2	6	4	2	1	2	3	1	1	1	2	0
3	2	1	0	4	1	4	0	4	3	3	2	1	4	5	2	3	3	2	1	3	3	2	5	3	1	2	1
3	2	0	1	2	1	3	4	5	3	3	1	2	3	2	2	5	1	2	2	3	2	3	3	1	3	2	3
1	1	2	2	3	2	2	3	3	3	2	4	4	1	6	1	2	2	2	5	2	4	3	3	3	2	2	5
2	1	2	3	4	3	1	3	1	1	2	4	3	3	5	2	2	2	4	1	2	1	3	1	2	3	3	1
1	3	5	3	4	2	3	1	4	2	3	4	4	3	2	4	5	2	3	4	2	4	1	3	2	2	2	4
1	2	3	3	3	1	1	1	4	4	2	1	5	5	3	4	0	4	4	2	5	2	3	0	5	3	2	4
5	5	0	1	1	4	3	5	3	3	2	0	4	2	3	6	4	2	2	2	2	3	4	3	2	1	3	2
1	2	2	2	3	4	0	2	4	1	4	2	3	4	3	2	4	1	4	2	1	2	3	6	0	4	3	4
1	4	5	1	2	2	2	3	2	1	1	3	3	0	3	1	2	1	2	4	3	4	1	1	2	1	3	2
1	6	3	2	4	2	4	3	1	4	1	2	3	3	3	3	3	1	1	5	2	3	3	6	2	3	4	1
1	4	1	3	0	2	1	3	1	3	3	3	2	3	2	3	1	4	2	1	2	2	1	1	2	1	2	2
1	2	5	2	3	2	4	5	3	2	3	2	2	1	2	2	1	2	6	4	3	1	3	1	4	3	2	3
4	2	3	3	3	3	2	3	3	3	3	2	4	2	4	3	2	2	0	2	2	4	1	4	1	3	2	2
0	4	4	2	0	3	2	1	1	4	3	1	2	3	4	1	1	3	4	1	3	4	3	3	2	3	0	1
2	3	1	2	1	1	3	4	3	3	2	3	2	2	2	3	3	3	3	2	3	4	3	5	2	3	3	3
0	1	0	2	1	2	2	5	4	3	0	3	2	4	2	1	3	4	1	3	2	0	1	4	4	1	4	4
1	2	0	2	2	3	2	2	3	1	2	2	4	3	3	4	2	1	3	3	3	2	3	3	1	2	0	2
0	1	3	4	4	3	3	2	2	1	2	2	0	1	3	4	2	3	3	3	1	2	3	5	2	3	5	4
2	4	2	2	5	3	0	2	4	4	3	2	2	1	4	5	6	2	1	3	2	4	2	5	3	1	2	2
																											
		Кнабл	степень св	Ккрит a = 0.05	p value																						
Beta		4.99	3	7.815	0.188	+																					
erlang		26,80	4	9,488	0.005	-																					
Exponential		465	5	11,07	0.005	-																					
Gamma		23,60	4	9,488	0.005	-																					
Lognormal		65	4	9,488	0.005	-																					
Normal       		6.97	3	7.815	0.0771	+																					
Poisson      		33,10	5	11,07	0.005	-																					
Triangular   		35,80	5	11,07	0.005	-																					
Uniform      		348	6	12,592	0.005	-																					
Weibull      		3.57	4	9,488	0.473	+																					
